,-0.00,0
935086,500.00,-10570.40,0
935089,333.33,10.22,0
935091,500.00,0.00,0
935094,333.33,7043.49,0
935096,500.00,2643.64,0
935099,333.33,-0.00,0
935101,500.00,-0.00,0
935104,333.33,-0.00,0
935106,500.00,10573.73,0
935109,333.33,7074.43,0
935111,500.00,0.00,0
935113,500.00,7053.82,0
935116,333.33,-5231.92,0
935119,333.33,-0.00,0
935121,500.00,-0.00,0
935123,500.00,-0.00,0
935127,250.00,-5286.85,0
935129,500.00,7073.13,0
935132,333.33,0.00,0
935134,500.00,7043.49,0
935137,333.33,12265.09,0
935139,500.00,-0.00,0
935142,333.33,-0.00,0
935144,500.00,-106.56,0
935147,333.33,-12264.98,0
935150,333.33,0.00,0
935152,500.00,0.00,0
935154,500.00,7043.49,0
935157,333.33,6132.75,0
935159,500.00,-0.00,0
935162,333.33,-0.00,0
935164,500.00,2876.75,0
935168,250.00,7057.12,0
935170,500.00,0.00,0
935173,500.00,0.00,0
935175,333.33,1375.10,0
935177,500.00,-5231.92,0
935180,333.33,-0.00,0
935182,500.00,-0.00,0
935185,333.33,-12264.98,0
935188,500.00,7081.08,0
935190,333.33,0.00,0
935192,500.00,0.00,0
935195,333.33,-10570.40,0
935197,500.00,-2642.54,0
935200,333.33,-0.00,0
935202,500.00,-0.00,0
935205,333.33,-10573.71,0
935208,333.33,935.09,0
935211,333.33,0.00,0
935213,500.00,0.02,0
935216,333.33,-2643.43,0
935218,500.00,12787.58,0
935221,333.33,-0.00,0
935223,500.00,-0.00,0
935226,333.33,-2643.43,0
935228,500.00,-12704.97,0
935231,333.33,0.00,0
935233,500.00,65.26,0
935236,333.33,-5286.85,0
935238,500.00,-0.00,0
935241,333.33,-0.00,0
935243,500.00,-0.00,0
935246,333.33,-10573.71,0
935248,500.00,7039.83,0
935251,333.33,0.00,0
935254,333.33,7294.26,0
935257,333.33,-10573.71,0
935259,500.00,-0.00,0
935262,333.33,-0.00,0
935264,500.00,-0.00,0
935267,333.33,6132.75,0
935269,500.00,905.79,0
935272,333.33,0.00,0
935274,500.00,917.76,0
935276,500.00,2643.64,0
935279,333.33,-0.00,0
935281,500.00,-0.00,0
935284,333.33,-0.00,0
935286,500.00,-5231.92,0
935289,333.33,0.00,0
935291,500.00,0.00,0
935293,500.00,86.13,0
935297,250.00,-2616.17,0
935299,500.00,-0.00,0
935302,333.33,-0.00,0
935304,500.00,-0.00,0
935307,333.33,-12264.98,0
935309,500.00,6820.04,0
935312,333.33,0.00,0
935314,500.00,1361.36,0
935317,333.33,10573.73,0
935319,500.00,-0.00,0
935322,333.33,-0.00,0
935324,500.00,-3516.60,0
935327,333.33,7057.15,0
935329,500.00,0.00,0
935332,333.33,0.00,0
935334,500.00,7163.68,0
935337,333.33,-10570.40,0
935340,333.33,-0.00,0
935343,333.33,-0.00,0
935345,500.00,-5286.85,0
935348,333.33,7981.91,0
935350,500.00,0.00,0
935353,333.33,0.00,0
935355,500.00,-6026.19,0
935358,333.33,-6132.70,0
935360,500.00,-0.00,0
935363,333.33,-0.00,0
935365,500.00,-12264.98,0
935368,333.33,7074.46,0
935370,500.00,0.00,0
935373,333.33,0.01,0
935375,500.00,5286.87,0
935377,500.00,-10336.63,0
935380,333.33,-0.00,0
935384,250.00,-0.00,0
935386,500.00,-2616.17,0
935389,333.33,7053.60,0
935391,500.00,0.00,0
935393,500.00,96.24,0
935396,333.33,-6132.70,0
935398,500.00,-0.00,0
935401,333.33,-0.00,0
935403,500.00,-0.00,0
935406,333.33,-2616.17,0
935408,500.00,7081.08,0
935411,333.33,0.00,0
935413,500.00,7081.08,0
935416,333.33,5286.87,0
935418,500.00,-0.00,0
935421,333.33,-0.00,0
935424,333.33,-0.00,0
935426,500.00,2643.64,0
935429,333.33,10.21,0
935431,500.00,0.00,0
935434,333.33,59.48,0
935436,500.00,-10570.40,0
935439,333.33,-0.00,0
935441,500.00,-0.00,0
935444,333.33,-0.00,0
935446,500.00,6132.75,0
935449,333.33,-6566.07,0
935451,500.00,0.00,0
935453,500.00,85.91,0
935456,333.33,-5231.92,0
935459,500.00,-0.00,0
935461,333.33,-0.00,0
935463,500.00,-0.00,0
935467,250.00,-10570.40,0
935469,500.00,0.00,0
935472,333.33,0.00,0
935474,500.00,911.16,0
935477,500.00,-10570.40,0
935479,333.33,-0.00,0
935482,333.33,-0.00,0
935484,500.00,-0.00,0
935486,500.00,6139.36,0
935489,333.33,7033.17,0
935492,500.00,0.00,0
935494,333.33,7043.49,0
935496,500.00,-2616.17,0
935499,333.33,-0.00,0
935501,500.00,-0.00,0
935504,333.33,-426.25,0
935506,500.00,-12264.98,0
935510,250.00,0.00,0
935512,500.00,0.00,0
935515,333.33,-6558.95,0
935517,500.00,-2616.17,0
935520,333.33,-0.00,0
935522,500.00,-0.00,0
935525,333.33,-12264.98,0
935527,500.00,7981.91,0
935530,333.33,0.00,0
935532,500.00,0.00,0
935535,333.33,-2643.43,0
935537,500.00,5286.87,0
935540,333.33,-0.00,0
935542,500.00,-0.00,0
935545,333.33,-10570.40,0
935547,500.00,938.63,0
935550,333.33,0.00,0
935553,333.33,0.00,0
935555,500.00,-5286.85,0
935558,333.33,-2610.80,0
935561,333.33,-0.00,0
935563,500.00,-0.00,0
935566,500.00,-2616.17,0
935568,333.33,937.80,0
935571,333.33,0.00,0
935573,500.00,1.83,0
935575,500.00,-10573.71,0
935578,333.33,-3516.59,0
935581,333.33,-0.00,0
935583,500.00,-0.00,0
935585,500.00,5286.87,0
935588,333.33,7057.12,0
935591,500.00,0.00,0
935593,333.33,7053.82,0
935596,333.33,2643.64,0
935599,333.33,-0.00,0
935601,500.00,-0.00,0
935604,333.33,-0.00,0
935606,500.00,-10573.71,0
935609,333.33,7053.56,0
935611,500.00,0.00,0
935614,333.33,1364.67,0
935616,500.00,-5231.92,0
935619,333.33,-0.00,0
935621,500.00,-0.00,0
935624,333.33,-0.00,0
935626,500.00,12265.09,0
935629,333.33,0.00,0
935631,500.00,0.00,0
935633,500.00,6844.00,0
935636,333.33,-12264.98,0
935640,250.00,-0.00,0
935642,500.00,-0.00,0
935644,500.00,-0.00,0
935647,333.33,-5286.85,0
935649,500.00,0.00,0
935652,333.33,0.00,0
935654,500.00,7266.94,0
935657,333.33,5286.87,0
935659,500.00,-0.00,0
935662,333.33,-0.00,0
935664,500.00,-0.00,0
935666,500.00,-6132.70,0
935669,333.33,0.00,0
935671,500.00,0.00,0
935674,333.33,65.26,0
935676,500.00,2643.64,0
935680,250.00,-0.00,0
935682,500.00,-0.00,0
935684,500.00,-0.00,0
935687,333.33,-10573.71,0
935689,500.00,0.00,0
935692,333.33,0.00,0
935694,500.00,-6559.01,0
935697,333.33,-2616.17,0
935699,500.00,-0.00,0
935702,333.33,-0.00,0
935704,500.00,-10336.63,0
935707,333.33,948.85,0
935709,500.00,0.00,0
935712,333.33,0.00,0
935714,500.00,7043.49,0
935717,500.00,-5231.92,0
935719,333.33,-0.00,0
935723,250.00,-0.00,0
935725,500.00,-6947.23,0
935728,333.33,7926.97,0
935730,500.00,0.00,0
935732,500.00,0.00,0
935735,333.33,5286.85,0
935737,500.00,-10573.71,0
935740,333.33,-0.00,0
935742,500.00,-0.00,0
935745,333.33,10573.73,0
935747,500.00,7081.13,0
935750,333.33,0.00,0
935752,500.00,0.00,0
935755,333.33,12278.72,0
935757,500.00,5287.36,0
935760,333.33,-0.00,0
935762,500.00,-0.00,0
935766,250.00,2643.64,0
935768,500.00,917.76,0
935771,333.33,0.00,0
935773,500.00,0.00,0
935775,500.00,-6132.70,0
935778,333.33,6154.02,0
935780,500.00,-0.00,0
935783,333.33,-0.00,0
935785,500.00,-10570.40,0
935788,333.33,82.58,0
935790,500.00,0.00,0
935793,333.33,0.03,0
935795,500.00,2643.64,0
935798,500.00,-6074.10,0
935800,333.33,-0.00,0
935803,333.33,-0.00,0
935805,500.00,6139.36,0
935809,333.33,-6559.01,0
935811,333.33,0.00,0
935813,500.00,41.30,0
935816,333.33,10573.73,0
935818,500.00,6820.04,0
935821,333.33,-0.00,0
935823,500.00,-0.00,0
935826,333.33,-10573.71,0
935829,500.00,7074.43,0
935831,333.33,0.00,0
935833,500.00,65.26,0
935836,333.33,-6132.70,0
935838,500.00,-0.00,0
935841,333.33,-0.00,0
935843,500.00,-0.00,0
935846,333.33,2643.64,0
935848,500.00,-6566.12,0
935852,250.00,0.00,0
935854,500.00,938.42,0
935857,333.33,-2616.17,0
935859,500.00,-0.00,0
935862,333.33,-0.00,0
935864,500.00,-0.00,0
935866,500.00,-2616.17,0
935869,333.33,852.51,0
935872,500.00,0.00,0
935874,333.33,85.91,0
935876,500.00,6139.36,0
935879,333.33,-0.00,0
935881,500.00,-0.00,0
935884,333.33,-0.00,0
935886,500.00,-10570.40,0
935889,333.33,0.00,0
935891,500.00,0.00,0
935894,333.33,-13554.17,0
935897,333.33,5286.87,0
935900,333.33,-0.00,0
935902,500.00,-0.00,0
935904,500.00,-426.25,0
935907,333.33,-10573.71,0
935910,333.33,0.00,0
935912,500.00,0.00,0
935914,500.00,917.76,0
935917,333.33,-10570.40,0
935919,500.00,-0.00,0
935922,333.33,-0.00,0
935924,500.00,-5233.57,0
935927,333.33,7074.47,0
935929,500.00,0.00,0
935932,333.33,0.00,0
935934,500.00,10573.70,0
935938,250.00,-10570.40,0
935940,500.00,-0.00,0
935943,333.33,-0.00,0
935945,500.00,-2616.17,0
935948,333.33,7057.15,0
935950,500.00,0.00,0
935953,333.33,0.00,0
935955,500.00,-10570.40,0
935958,333.33,-10549.75,0
935960,500.00,-0.00,0
935963,333.33,-0.00,0
935965,500.00,-6132.70,0
935968,333.33,7074.46,0
935970,500.00,0.00,0
935973,333.33,41.29,0
935975,500.00,10573.73,0
935979,250.00,-0.00,0
935981,500.00,-0.00,0
935984,333.33,-0.00,0
935986,500.00,12265.09,0
935989,333.33,10.21,0
935991,500.00,0.00,0
935993,500.00,-13385.65,0
935996,333.33,2643.64,0
935999,333.33,-0.00,0
936001,500.00,-0.00,0
936003,500.00,-0.00,0
936006,333.33,-5231.92,0
936008,500.00,26.64,0
936011,333.33,0.00,0
936013,500.00,-12704.55,0
936016,333.33,-12264.98,0
936019,333.33,-0.00,0
936022,333.33,-0.00,0
936024,500.00,-0.00,0
936027,333.33,12265.09,0
936029,500.00,0.00,0
936032,333.33,0.00,0
936034,500.00,7294.26,0
936037,333.33,6132.75,0
936039,500.00,-0.00,0
936042,500.00,-0.00,0
936044,333.33,-0.00,0
936046,500.00,-6132.70,0
936049,333.33,0.00,0
936051,500.00,0.00,0
936054,333.33,512.16,0
936056,500.00,-10570.40,0
936059,333.33,-0.00,0
936061,500.00,-0.00,0
936065,250.00,-0.00,0
936067,500.00,6132.75,0
936070,500.00,0.00,0
936072,333.33,0.00,0
936074,500.00,7926.97,0
936077,333.33,2643.64,0
936079,500.00,-0.00,0
936082,333.33,-0.00,0
936084,500.00,-0.00,0
936086,500.00,10573.73,0
936089,333.33,0.00,0
936091,500.00,0.00,0
936094,333.33,7294.26,0
936096,500.00,6139.36,0
936099,333.33,-0.00,0
936101,500.00,-0.00,0
936104,333.33,-0.00,0
936107,333.33,12278.72,0
936110,333.33,0.00,0
936112,500.00,0.00,0
936114,500.00,58.65,0
936117,333.33,6132.75,0
936119,500.00,-0.00,0
936122,333.33,-0.00,0
936124,500.00,-0.00,0
936126,500.00,12278.72,0
936129,333.33,0.00,0
936131,500.00,0.00,0
936134,333.33,7287.60,0
936136,500.00,6132.75,0
936139,333.33,-0.00,0
936141,500.00,-0.00,0
936144,500.00,-0.00,0
936146,500.00,12265.09,0
936150,250.00,0.00,0
936152,500.00,0.00,0
936154,500.00,508.86,0
936157,333.33,-6132.70,0
936159,500.00,-0.00,0
936162,333.33,-0.00,0
936164,500.00,-0.00,0
936166,500.00,2643.64,0
936169,333.33,6820.04,0
936172,333.33,0.00,0
936174,500.00,58.65,0
936176,500.00,12278.72,0
936179,333.33,-0.00,0
936181,500.00,-0.00,0
936184,333.33,-0.00,0
936186,500.00,6132.75,0
936189,333.33,0.00,0
936192,333.33,0.00,0
936194,500.00,-12701.67,0
936197,333.33,2643.64,0
936200,333.33,-0.00,0
936202,500.00,-0.00,0
936204,500.00,-7033.17,0
936207,333.33,-5286.85,0
936210,333.33,0.00,0
936212,500.00,0.00,0
936214,500.00,7266.94,0
936217,333.33,12265.09,0
936219,500.00,-0.00,0
936222,333.33,-0.00,0
936224,500.00,-3753.67,0
936227,333.33,7081.13,0
936229,500.00,0.00,0
936232,333.33,0.00,0
936235,333.33,-6132.75,0
936238,333.33,-10573.71,0
936240,500.00,-0.00,0
936243,333.33,-0.00,0
936245,500.00,-5231.92,0
936248,333.33,7074.46,0
936250,500.00,0.00,0
936253,333.33,0.00,0
936255,500.00,2643.64,0
936258,333.33,6139.87,0
936260,500.00,-0.00,0
936263,500.00,-0.00,0
936265,333.33,-12264.98,0
936268,333.33,85.91,0
936270,500.00,0.00,0
936272,500.00,0.00,0
936275,333.33,10573.73,0
936278,333.33,13426.95,0
936281,333.33,-0.00,0
936283,500.00,-0.00,0
936286,333.33,5286.87,0
936288,500.00,-6586.48,0
936291,333.33,0.00,0
936293,500.00,935.11,0
936296,333.33,-12264.98,0
936298,500.00,-0.00,0
936301,333.33,-0.00,0
936303,500.00,-0.00,0
936306,333.33,6139.36,0
936308,500.00,-5713.15,0
936311,333.33,0.00,0
936313,500.00,911.99,0
936316,333.33,2643.64,0
936318,500.00,-0.00,0
936322,333.33,-0.00,0
936324,333.33,-0.00,0
936326,500.00,-10570.40,0
936329,333.33,905.79,0
936331,500.00,0.00,0
936334,333.33,7053.82,0
936336,500.00,10573.73,0
936339,333.33,-0.00,0
936341,500.00,-0.00,0
936344,333.33,-0.00,0
936346,500.00,-5231.92,0
936349,333.33,0.00,0
936351,500.00,0.00,0
936353,500.00,86.13,0
936356,333.33,-10573.71,0
936359,500.00,-0.00,0
936361,500.00,-0.00,0
936364,333.33,-0.00,0
936367,333.33,-10573.71,0
936369,500.00,0.00,0
936372,333.33,0.00,0
936374,500.00,911.16,0
936377,500.00,12278.72,0
936379,333.33,-0.00,0
936382,333.33,-0.00,0
936384,500.00,-0.00,0
936386,500.00,12278.72,0
936389,333.33,0.00,0
936391,500.00,0.00,0
936394,333.33,7294.26,0
936396,500.00,6132.75,0
936399,333.33,-0.00,0
936401,500.00,-0.00,0
936404,500.00,-106.56,0
936407,250.00,10573.73,0
936410,333.33,0.00,0
936412,500.00,0.00,0
936414,500.00,522.60,0
936417,333.33,-5231.92,0
936419,500.00,-0.00,0
936422,333.33,-0.00,0
936424,500.00,-10762.88,0
936427,333.33,7043.49,0
936429,500.00,0.00,0
936432,333.33,0.00,0
936434,500.00,7057.15,0
936437,333.33,10573.73,0
936439,500.00,-0.00,0
936442,333.33,-0.00,0
936444,500.00,-5231.92,0
936448,250.00,7074.47,0
936450,500.00,0.00,0
936453,333.33,0.00,0
936455,500.00,-5286.85,0
936458,333.33,-6132.70,0
936460,500.00,-0.00,0
936463,333.33,-0.00,0
936465,500.00,5286.87,0
936468,500.00,-13554.17,0
936470,333.33,0.00,0
936473,333.33,0.00,0
936475,500.00,-6132.70,0
936477,500.00,-2557.52,0
936480,333.33,-0.00,0
936483,500.00,-0.00,0
936485,333.33,-10573.71,0
936488,333.33,935.09,0
936491,333.33,0.00,0
936493,500.00,55.97,0
936496,333.33,12278.72,0
936498,500.00,-10336.63,0
936501,333.33,-0.00,0
936504,333.33,-0.00,0
936506,500.00,10573.73,0
936509,333.33,7039.83,0
936511,500.00,0.00,0
936513,500.00,96.34,0
936516,333.33,12265.09,0
936518,500.00,-0.00,0
936521,333.33,-0.00,0
936523,500.00,-0.00,0
936526,333.33,2643.64,0
936528,500.00,-6566.12,0
936531,333.33,0.00,0
936534,333.33,7981.91,0
936537,333.33,5286.87,0
936539,500.00,-0.00,0
936542,333.33,-0.00,0
936544,500.00,-0.00,0
936546,500.00,10573.73,0
936549,333.33,0.00,0
936551,500.00,0.00,0
936554,333.33,65.26,0
936556,500.00,-10573.71,0
936559,333.33,-0.00,0
936561,500.00,-0.00,0
936564,333.33,-0.00,0
936566,500.00,6132.75,0
936569,333.33,0.00,0
936571,500.00,0.00,0
936573,500.00,7981.91,0
936577,250.00,5286.87,0
936579,500.00,-0.00,0
936582,333.33,-0.00,0
936584,500.00,-0.00,0
936586,500.00,2643.64,0
936589,333.33,7033.17,0
936592,333.33,0.00,0
936594,500.00,7057.15,0
936596,500.00,2643.64,0
936599,333.33,-0.00,0
936601,500.00,-0.00,0
936604,333.33,-426.25,0
936606,500.00,-12264.98,0
936609,333.33,0.00,0
936611,500.00,0.00,0
936614,333.33,65.27,0
936616,500.00,-2643.43,0
936620,250.00,-0.00,0
936622,500.00,-0.00,0
936625,500.00,-8631.62,0
936627,333.33,5286.85,0
936630,333.33,0.00,0
936632,500.00,0.00,0
936634,500.00,7981.91,0
936637,333.33,-5286.85,0
936640,500.00,-0.00,0
936642,333.33,-0.00,0
936644,500.00,-3537.24,0
936647,333.33,82.61,0
936649,500.00,0.00,0
936652,333.33,0.00,0
936654,500.00,935.11,0
936656,500.00,6132.75,0
936659,333.33,-0.00,0
936662,333.33,-0.00,0
936665,333.33,-427.60,0
936667,500.00,4427.74,0
936670,333.33,0.00,0
936672,500.00,0.00,0
936674,500.00,7150.06,0
936677,333.33,-2643.43,0
936680,333.33,-0.00,0
936682,500.00,-0.00,0
936684,500.00,12952.79,0
936687,333.33,948.85,0
936690,333.33,0.00,0
936692,500.00,0.00,0
936694,500.00,5286.85,0
936697,333.33,12278.72,0
936699,500.00,-0.00,0
936702,333.33,-0.00,0
936705,333.33,2643.64,0
936708,333.33,-6558.95,0
936710,500.00,0.00,0
936713,333.33,0.00,0
936715,500.00,10573.73,0
936718,333.33,5286.89,0
936720,500.00,-0.00,0
936723,333.33,-0.00,0
936725,500.00,-10573.71,0
936728,333.33,95.93,0
936730,500.00,0.00,0
936732,500.00,0.00,0
936735,333.33,-5231.92,0
936737,500.00,6393.79,0
936740,333.33,-0.00,0
936742,500.00,-0.00,0
936745,333.33,-5286.85,0
936748,333.33,-10996.66,0
936751,333.33,0.00,0
936753,500.00,7043.39,0
936756,333.33,10573.73,0
936759,333.33,-0.00,0
936761,500.00,-0.00,0
936763,500.00,-0.00,0
936766,333.33,-12264.98,0
936768,500.00,7074.40,0
936771,333.33,0.00,0
936773,500.00,1375.10,0
936776,333.33,12278.72,0
936779,500.00,-0.00,0
936781,333.33,-0.00,0
936783,500.00,-0.00,0
936786,333.33,10573.73,0
936788,500.00,905.79,0
936792,250.00,0.00,0
936794,500.00,7057.12,0
936797,333.33,-5286.85,0
936799,500.00,-0.00,0
936802,333.33,-0.00,0
936804,500.00,-0.00,0
936807,500.00,-12264.98,0
936809,333.33,0.00,0
936812,333.33,0.00,0
936814,500.00,-13557.48,0
936817,333.33,6139.36,0
936819,500.00,-0.00,0
936822,333.33,-0.00,0
936824,500.00,-5221.62,0
936827,333.33,-6559.01,0
936829,500.00,0.00,0
936833,333.33,0.00,0
936835,333.33,-6132.75,0
936837,500.00,12265.09,0
936840,333.33,-0.00,0
936842,500.00,-0.00,0
936845,333.33,6132.75,0
936847,500.00,917.76,0
936850,333.33,0.00,0
936852,500.00,0.00,0
936855,500.00,-6132.75,0
936857,333.33,5286.87,0
936860,333.33,-0.00,0
936862,500.00,-0.00,0
936864,500.00,-10573.71,0
936867,333.33,948.85,0
936870,333.33,0.00,0
936872,500.00,0.00,0
936875,333.33,6132.75,0
936878,333.33,-2643.42,0
936881,500.00,-0.00,0
936883,333.33,-0.00,0
936885,500.00,-6132.70,0
936888,333.33,7043.39,0
936890,500.00,0.00,0
936893,333.33,0.00,0
936895,500.00,-6132.70,0
936898,333.33,13426.95,0
936900,500.00,-0.00,0
936903,333.33,-0.00,0
936905,500.00,-5286.85,0
936908,333.33,96.24,0
936910,500.00,0.00,0
936912,500.00,6.89,0
936915,333.33,-2643.43,0
936918,333.33,13426.95,0
936921,333.33,-0.00,0
936923,500.00,-0.00,0
936926,333.33,-10573.71,0
936929,333.33,7074.46,0
936931,500.00,0.00,0
936933,500.00,911.16,0
936936,333.33,-5231.92,0
936939,333.33,-0.00,0
936941,500.00,-0.00,0
936943,500.00,-0.00,0
936946,333.33,5286.87,0
936948,500.00,56.61,0
936951,333.33,0.00,0
936953,500.00,11.99,0
936955,500.00,2643.64,0
936958,333.33,-0.00,0
936961,333.33,-0.00,0
936964,333.33,-0.00,0
936966,500.00,-10573.71,0
936969,333.33,7039.83,0
936971,500.00,0.00,0
936974,333.33,917.76,0
936976,500.00,12278.72,0
936979,333.33,-0.00,0
936981,500.00,-0.00,0
936984,333.33,-0.00,0
936986,500.00,6132.75,0
936989,333.33,53.28,0
936991,500.00,0.00,0
936993,500.00,58.65,0
936996,333.33,-10570.40,0
936998,500.00,-0.00,0
937001,333.33,-0.00,0
937004,333.33,-0.00,0
937007,333.33,-10573.71,0
937009,500.00,0.00,0
937012,333.33,0.00,0
937014,500.00,7043.49,0
937016,500.00,-6132.70,0
937019,333.33,-0.00,0
937022,500.00,-0.00,0
937024,333.33,-0.00,0
937026,500.00,5286.87,0
937029,333.33,0.00,0
937031,500.00,0.00,0
937033,500.00,911.16,0
937036,333.33,-12264.98,0
937039,333.33,-0.00,0
937041,500.00,-0.00,0
937043,500.00,-0.00,0
937047,250.00,-6132.70,0
937049,500.00,0.00,0
937052,333.33,0.00,0
937054,500.00,6830.37,0
937057,333.33,-10573.71,0
937059,500.00,-0.00,0
937062,333.33,-0.00,0
937064,500.00,9697.24,0
937067,333.33,10573.70,0
937069,500.00,0.00,0
937072,333.33,0.00,0
937074,500.00,7266.94,0
937077,500.00,12265.09,0
937079,333.33,-0.00,0
937082,333.33,-0.00,0
937084,500.00,9676.81,0
937086,500.00,-12704.97,0
937090,250.00,0.00,0
937093,500.00,0.00,0
937095,333.33,-6132.70,0
937097,500.00,12265.09,0
937100,333.33,-0.00,0
937103,500.00,-0.00,0
937105,333.33,-2616.17,0
937108,500.00,7043.49,0
937110,333.33,0.00,0
937112,500.00,0.00,0
937115,333.33,-2616.17,0
937117,500.00,-5285.08,0
937120,333.33,-0.00,0
937122,500.00,-0.00,0
937125,333.33,12278.72,0
937127,500.00,63.61,0
937131,250.00,0.00,0
937133,500.00,0.00,0
937135,500.00,12278.72,0
937138,333.33,2664.08,0
937141,333.33,-0.00,0
937143,500.00,-0.00,0
937145,500.00,-2616.17,0
937148,333.33,938.42,0
937150,500.00,0.00,0
937153,333.33,0.44,0
937155,500.00,-5286.85,0
937158,333.33,11082.57,0
937160,500.00,-0.00,0
937163,333.33,-0.00,0
937165,500.00,-6132.70,0
937168,333.33,7043.39,0
937170,500.00,0.00,0
937174,250.00,7074.47,0
937176,500.00,2643.64,0
937179,333.33,-0.00,0
937181,500.00,-0.00,0
937184,333.33,-0.00,0
937186,500.00,-6132.70,0
937189,333.33,7073.96,0
937191,500.00,0.00,0
937193,500.00,96.34,0
937196,333.33,-6132.70,0
937199,500.00,-0.00,0
937201,333.33,-0.00,0
937203,500.00,-0.00,0
937206,333.33,6139.36,0
937208,500.00,7039.83,0
937211,333.33,0.00,0
937213,500.00,7926.97,0
937217,250.00,-2616.17,0
937219,500.00,-0.00,0
937222,333.33,-0.00,0
937224,500.00,-0.00,0
937226,500.00,-5231.92,0
937229,333.33,0.00,0
937231,500.00,0.00,0
937234,333.33,6830.37,0
937236,500.00,6132.75,0
937239,333.33,-0.00,0
937241,500.00,-0.00,0
937244,333.33,-0.00,0
937246,500.00,-5286.85,0
937249,333.33,0.00,0
937251,500.00,0.00,0
937253,500.00,65.27,0
937256,333.33,6132.75,0
937259,333.33,-0.00,0
937262,333.33,-0.00,0
937264,500.00,-0.00,0
937266,500.00,10573.73,0
937269,333.33,0.00,0
937271,500.00,0.00,0
937274,333.33,65.26,0
937276,500.00,-10573.71,0
937279,333.33,-0.00,0
937281,500.00,-0.00,0
